day,Aleppo,Damascus,Damascus Suburbs,Daraa,Deir Ezzor,Hama,Hasakeh,Homs,Idlib,Lattakia,Quneitra,Raqqa,Sweida,Tartous
2011-07-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2011-07-25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2011-07-27,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-28,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-29,0.0,1.0,5.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-07-30,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-31,4.0,1.0,0.0,10.0,10.0,70.0,1.0,3.0,5.0,1.0,0.0,1.0,0.0,6.0
2011-08-01,0.0,0.0,6.0,0.0,0.0,9.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0
2011-08-02,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2011-08-03,0.0,3.0,0.0,1.0,0.0,10.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-08-04,0.0,0.0,0.0,3.0,3.0,6.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0
2011-08-05,0.0,0.0,3.0,0.0,0.0,5.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
2011-08-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
2011-08-07,1.0,0.0,0.0,0.0,6.0,4.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,1.0
2011-08-08,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2011-08-09,0.0,0.0,0.0,0.0,3.0,18.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
2011-08-10,1.0,0.0,1.0,0.0,0.0,4.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-08-11,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
2011-08-12,4.0,0.0,3.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0
